Run,ArrayExpress-Phenotype,ArrayExpress-SPECIES,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,PHENOTYPE,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,SRA Study,sub_species,Subject_ID,Submitter_Id
ERR3448844,Blood,Canis familiaris,WXS,AAEX03,150,7504060200,PRJEB24200,SAMEA4673497,1610005819,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2019-07-23,2019-07-23,2019-07-23,2018-05-22,ERX3470843,SAMEA4673497,SC,Wellcome Sanger Institute,2019-07-23T11:59:28Z,2018-05-22T11:21:11Z,public,Illumina HiSeq 4000,DN520574J:E2,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Blood,ILLUMINA,2019-07-24T00:00:00Z,2019-07-24T13:42:00Z,1,SAMEA4673497,618bea8a-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0119b,618bea8a-5392-11e8-a54b-3c4a9275d6c8
ERR3448848,Blood,Canis familiaris,WXS,AAEX03,150,10124575650,PRJEB24200,SAMEA4673501,2159138913,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2019-07-23,2019-07-23,2019-07-23,2018-05-22,ERX3470847,SAMEA4673501,SC,Wellcome Sanger Institute,2019-07-23T11:59:28Z,2018-05-22T11:21:12Z,public,Illumina HiSeq 4000,DN520574J:A3,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Blood,ILLUMINA,2019-07-24T00:00:00Z,2019-07-24T13:48:00Z,1,SAMEA4673501,61a8a652-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0128b,61a8a652-5392-11e8-a54b-3c4a9275d6c8
ERR3448849,Blood,Canis familiaris,WXS,AAEX03,150,8684182650,PRJEB24200,SAMEA4673502,1854747639,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",2019-07-23,2019-07-23,2019-07-23,2018-05-22,ERX3470848,SAMEA4673502,SC,Wellcome Sanger Institute,2019-07-23T11:59:28Z,2018-05-22T11:21:13Z,public,Illumina HiSeq 4000,DN520574J:B3,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Blood,ILLUMINA,2019-07-24T00:00:00Z,2019-07-24T13:52:00Z,1,SAMEA4673502,61af608c-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0127b,61af608c-5392-11e8-a54b-3c4a9275d6c8
ERR3448850,Blood,Canis familiaris,WXS,AAEX03,150,8686108350,PRJEB24200,SAMEA4673503,1871710876,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2019-07-23,2019-07-23,2019-07-23,2018-05-22,ERX3470849,SAMEA4673503,SC,Wellcome Sanger Institute,2019-07-23T11:59:28Z,2018-05-22T11:21:13Z,public,Illumina HiSeq 4000,DN520574J:C3,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Blood,ILLUMINA,2019-07-24T00:00:00Z,2019-07-24T13:51:00Z,1,SAMEA4673503,61b6a22a-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0129b,61b6a22a-5392-11e8-a54b-3c4a9275d6c8
ERR3448852,Lymph Node,Canis familiaris,WXS,AAEX03,150,7277572800,PRJEB24200,SAMEA4673505,1614961104,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2019-07-23,2019-07-23,2019-07-23,2018-05-22,ERX3470851,SAMEA4673505,SC,Wellcome Sanger Institute,2019-07-23T11:59:28Z,2018-05-22T11:21:14Z,public,Illumina HiSeq 4000,DN520574J:E3,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Lymph Node,ILLUMINA,2019-07-24T00:00:00Z,2019-07-24T13:43:00Z,1,SAMEA4673505,61c469f0-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0106c,61c469f0-5392-11e8-a54b-3c4a9275d6c8
ERR3448854,Lymph Node,Canis familiaris,WXS,AAEX03,150,2172667050,PRJEB24200,SAMEA4673507,489977113,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",2019-07-23,2019-07-23,2019-07-23,2018-05-22,ERX3470853,SAMEA4673507,SC,Wellcome Sanger Institute,2019-07-23T11:59:28Z,2018-05-22T11:21:14Z,public,Illumina HiSeq 4000,DN520574J:G3,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Lymph Node,ILLUMINA,2019-07-24T00:00:00Z,2019-07-24T13:31:00Z,1,SAMEA4673507,61e46dcc-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0107c,61e46dcc-5392-11e8-a54b-3c4a9275d6c8
ERR3469367,Skin,Canis familiaris,WXS,AAEX03,150,8591350800,PRJEB24200,SAMEA4673526,1872044674,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491030,SAMEA4673526,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:19Z,public,Illumina HiSeq 4000,DN520574J:B6,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:41:00Z,1,SAMEA4673526,6277f4f2-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0119a,6277f4f2-5392-11e8-a54b-3c4a9275d6c8
ERR3469369,Skin,Canis familiaris,WXS,AAEX03,150,4894233150,PRJEB24200,SAMEA4673528,1076011065,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491032,SAMEA4673528,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:20Z,public,Illumina HiSeq 4000,DN520574J:D6,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:32:00Z,1,SAMEA4673528,628654ac-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0122a,628654ac-5392-11e8-a54b-3c4a9275d6c8
ERR3469370,Skin,Canis familiaris,WXS,AAEX03,150,8442500700,PRJEB24200,SAMEA4673530,1723220622,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491033,SAMEA4673530,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:20Z,public,Illumina HiSeq 4000,DN520574J:F6,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:36:00Z,1,SAMEA4673530,6293cce0-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0128a,6293cce0-5392-11e8-a54b-3c4a9275d6c8
ERR3469377,Blood,Canis familiaris,WXS,AAEX03,150,5574441000,PRJEB24200,SAMEA4673488,1279135055,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491040,SAMEA4673488,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:09Z,public,Illumina HiSeq 4000,DN520574J:D1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Blood,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:34:00Z,1,SAMEA4673488,610df7a6-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0109b,610df7a6-5392-11e8-a54b-3c4a9275d6c8
