Run,ArrayExpress-Phenotype,ArrayExpress-SPECIES,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,PHENOTYPE,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,SRA Study,sub_species,Subject_ID,Submitter_Id,ArrayExpress-Sex,gender
ERR5952371,Skin,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,2846524006,PRJEB36323,SAMEA6502378,484846414,WELLCOME SANGER INSTITUTE,dog,public,"cram,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592904,SAMEA6502378,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:A1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:25:00Z,1,SAMEA6502378,4b98e520-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0172d,4b98e520-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952372,Heart,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4763604400,PRJEB36323,SAMEA6502211,735255900,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra,cram","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",2021-05-26,2021-05-20,2021-05-26,2021-05-20,ERX5592905,SAMEA6502211,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:B1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Heart,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:17:00Z,1,SAMEA6502211,468ff848-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0148a,468ff848-3ea5-11ea-91f3-fa163e9d6485,female,female
ERR5952374,Spleen,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,5828547188,PRJEB36323,SAMEA6502207,788398353,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq,cram","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592907,SAMEA6502207,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:D1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Spleen,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:25:00Z,1,SAMEA6502207,4682d6b8-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0147c,4682d6b8-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952377,Skin,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4562580868,PRJEB36323,SAMEA6502365,876484589,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq,cram","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592910,SAMEA6502365,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:G1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:17:00Z,1,SAMEA6502365,4b047066-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0163c,4b047066-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952378,Skeletal muscle,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,3991708870,PRJEB36323,SAMEA6502368,824003627,WELLCOME SANGER INSTITUTE,dog,public,"cram,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592911,SAMEA6502368,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:H1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skeletal muscle,ILLUMINA,2021-05-27T00:00:00Z,2021-06-04T23:49:00Z,1,SAMEA6502368,4b5e9186-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0168d,4b5e9186-3ea5-11ea-91f3-fa163e9d6485,female,female
ERR5952383,Skin,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,6230168032,PRJEB36323,SAMEA6502302,935564539,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq,cram","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2021-05-26,2021-05-20,2021-05-26,2021-05-20,ERX5592916,SAMEA6502302,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:E2,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2021-05-27T00:00:00Z,2021-06-04T23:57:00Z,1,SAMEA6502302,49425df6-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0165b,49425df6-3ea5-11ea-91f3-fa163e9d6485,,
ERR5952385,Heart,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,2461893382,PRJEB36323,SAMEA6502266,568496652,WELLCOME SANGER INSTITUTE,dog,public,"cram,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592918,SAMEA6502266,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:G2,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Heart,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:03:00Z,1,SAMEA6502266,482c4c1a-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0152f,482c4c1a-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952387,Adrenal gland,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,2782263362,PRJEB36323,SAMEA6502243,664651337,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,cram,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592920,SAMEA6502243,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:A3,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Adrenal gland,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:13:00Z,1,SAMEA6502243,4772c876-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0144f,4772c876-3ea5-11ea-91f3-fa163e9d6485,female,female
ERR5952388,Pancreas,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4296163472,PRJEB36323,SAMEA6502219,682316652,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra,cram","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592921,SAMEA6502219,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:B3,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Pancreas,ILLUMINA,2021-05-27T00:00:00Z,2021-06-04T23:49:00Z,1,SAMEA6502219,46d84d46-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0151b,46d84d46-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952390,Skin,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,3576954188,PRJEB36323,SAMEA6502361,650091098,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra,cram","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2021-05-26,2021-05-20,2021-05-26,2021-05-20,ERX5592923,SAMEA6502361,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:D3,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:11:00Z,1,SAMEA6502361,4aea0d34-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0161c,4aea0d34-3ea5-11ea-91f3-fa163e9d6485,male,male
