Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,SRA Study,sub_species,Submitter_Id,tissue_type
ERR9923005,WXS,AAEX03,302,19044852350,PRJEB53653,SAMEA110220126,8848105131,UPPSALA UNIVERISTY,dog,public,"run.zq,sra,bam","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466698,SAMEA110220126,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:28:00Z,1,SAMEA110220126,CMT_NORMAL_1_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_1_DUP_BQSR.bam,DNA from white blood cells
ERR9923006,WXS,AAEX03,302,20242491334,PRJEB53653,SAMEA110220127,9697671346,UPPSALA UNIVERISTY,dog,public,"bam,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466699,SAMEA110220127,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:24:00Z,1,SAMEA110220127,CMT_NORMAL_11_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_11_DUP_BQSR.bam,DNA from white blood cells
ERR9923007,WXS,AAEX03,302,18292301268,PRJEB53653,SAMEA110220128,8807753057,UPPSALA UNIVERISTY,dog,public,"bam,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466700,SAMEA110220128,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:18:00Z,1,SAMEA110220128,CMT_NORMAL_12_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_12_DUP_BQSR.bam,DNA from white blood cells
ERR9923008,WXS,AAEX03,302,16073593338,PRJEB53653,SAMEA110220129,7772148915,UPPSALA UNIVERISTY,dog,public,"run.zq,bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466701,SAMEA110220129,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:09:00Z,1,SAMEA110220129,CMT_NORMAL_13_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_13_DUP_BQSR.bam,DNA from white blood cells
ERR9923009,WXS,AAEX03,302,22362353758,PRJEB53653,SAMEA110220130,10777672433,UPPSALA UNIVERISTY,dog,public,"sra,run.zq,bam","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466702,SAMEA110220130,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:27:00Z,1,SAMEA110220130,CMT_NORMAL_15_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_15_DUP_BQSR.bam,DNA from white blood cells
ERR9923010,WXS,AAEX03,302,15246591404,PRJEB53653,SAMEA110220131,7328462722,UPPSALA UNIVERISTY,dog,public,"bam,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466703,SAMEA110220131,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-08-01T07:00:00Z,1,SAMEA110220131,CMT_NORMAL_16_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_16_DUP_BQSR.bam,DNA from white blood cells
ERR9923011,WXS,AAEX03,302,14925657212,PRJEB53653,SAMEA110220132,7469743673,UPPSALA UNIVERISTY,dog,public,"run.zq,sra,bam","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466704,SAMEA110220132,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:06:00Z,1,SAMEA110220132,CMT_NORMAL_17_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_17_DUP_BQSR.bam,DNA from white blood cells
ERR9923012,WXS,AAEX03,302,21027723648,PRJEB53653,SAMEA110220133,10023932711,UPPSALA UNIVERISTY,dog,public,"run.zq,bam,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466705,SAMEA110220133,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-08-01T07:38:00Z,1,SAMEA110220133,CMT_NORMAL_19_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_19_DUP_BQSR.bam,DNA from white blood cells
ERR9923013,WXS,AAEX03,302,16684064292,PRJEB53653,SAMEA110220134,7891885098,UPPSALA UNIVERISTY,dog,public,"run.zq,bam,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466706,SAMEA110220134,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-08-01T06:30:00Z,1,SAMEA110220134,CMT_NORMAL_2_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_2_DUP_BQSR.bam,DNA from white blood cells
ERR9923014,WXS,AAEX03,302,15076996056,PRJEB53653,SAMEA110220135,6945738698,UPPSALA UNIVERISTY,dog,public,"bam,run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466707,SAMEA110220135,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-08-01T06:16:00Z,1,SAMEA110220135,CMT_NORMAL_20_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_20_DUP_BQSR.bam,DNA from white blood cells
