Run,ArrayExpress-Phenotype,ArrayExpress-SPECIES,Assay Type,BioProject,BioSample,Center Name,common_name,Consent,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,PHENOTYPE,Platform,ReleaseDate,Sample Name,Sample_Name,SRA Study,Subject_ID,Submitter_Id,AssemblyName,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,ArrayExpress-Sex,gender,sub_species
ERR6718447,Bladder,Bos taurus,WXS,PRJEB57227,SAMEA7082140,WELLCOME SANGER INSTITUTE,cattle,public,2021-09-14,2021-09-14,2021-10-20,2021-09-14,ERX6343041,SAMEA7082140,SC,Wellcome Sanger Institute,2021-09-14T09:15:48Z,2021-09-14T09:15:48Z,public,Illumina NovaSeq 6000,DN610740G:F2,PAIRED,Hybrid Selection,GENOMIC,Bos taurus,Bladder,ILLUMINA,2021-09-28T00:00:00Z,SAMEA7082140,12ce790e-6370-11ea-891f-fa163e2f1184,ERP142199,BTAUD0032b,12ce790e-6370-11ea-891f-fa163e2f1184,NKLS02,202,9238581302,1851253166,"run.zq,cram,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2021-10-05T00:02:00Z,1,female,female,
ERR6718448,Bladder,Bos taurus,WXS,PRJEB57227,SAMEA7082141,WELLCOME SANGER INSTITUTE,cattle,public,2021-09-14,2021-09-14,2021-10-20,2021-09-14,ERX6343042,SAMEA7082141,SC,Wellcome Sanger Institute,2021-09-14T09:15:48Z,2021-09-14T09:15:48Z,public,Illumina NovaSeq 6000,DN610740G:G2,PAIRED,Hybrid Selection,GENOMIC,Bos taurus,Bladder,ILLUMINA,2021-09-28T00:00:00Z,SAMEA7082141,12d53276-6370-11ea-891f-fa163e2f1184,ERP142199,BTAUD0032a,12d53276-6370-11ea-891f-fa163e2f1184,NKLS02,202,8878954238,1977447588,"run.zq,sra,cram","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2021-10-05T02:11:00Z,1,female,female,
ERR6718496,Bladder,Bos taurus,WXS,PRJEB57227,SAMEA7082193,WELLCOME SANGER INSTITUTE,cattle,public,2021-09-14,2021-09-14,2021-10-21,2021-09-14,ERX6343090,SAMEA7082193,SC,Wellcome Sanger Institute,2021-09-14T09:15:48Z,2021-09-14T09:15:48Z,public,Illumina NovaSeq 6000,DN610740G:G8,PAIRED,Hybrid Selection,GENOMIC,Bos taurus,Bladder,ILLUMINA,2021-09-28T00:00:00Z,SAMEA7082193,142bbabe-6370-11ea-891f-fa163e2f1184,ERP142199,BTAUD0054b,142bbabe-6370-11ea-891f-fa163e2f1184,NKLS02,202,10479102894,2023750482,"cram,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2021-10-04T23:59:00Z,1,female,female,
ERR6718535,Bladder,Bos taurus,WXS,PRJEB57227,SAMEA7082140,WELLCOME SANGER INSTITUTE,cattle,public,2021-09-14,2021-09-14,2021-09-14,2021-09-14,ERX6343129,SAMEA7082140,SC,Wellcome Sanger Institute,2021-09-14T09:15:48Z,2021-09-14T09:15:48Z,public,Illumina NovaSeq 6000,DN610740G:F2,PAIRED,Hybrid Selection,GENOMIC,Bos taurus,Bladder,ILLUMINA,2021-09-28T00:00:00Z,SAMEA7082140,12ce790e-6370-11ea-891f-fa163e2f1184,ERP142199,BTAUD0032b,12ce790e-6370-11ea-891f-fa163e2f1184,NKLS02,202,9307623488,1867776041,"run.zq,sra,cram","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2021-10-05T02:02:00Z,1,female,female,
ERR6718536,Bladder,Bos taurus,WXS,PRJEB57227,SAMEA7082141,WELLCOME SANGER INSTITUTE,cattle,public,2021-09-14,2021-09-14,2021-10-20,2021-09-14,ERX6343130,SAMEA7082141,SC,Wellcome Sanger Institute,2021-09-14T09:15:48Z,2021-09-14T09:15:48Z,public,Illumina NovaSeq 6000,DN610740G:G2,PAIRED,Hybrid Selection,GENOMIC,Bos taurus,Bladder,ILLUMINA,2021-09-28T00:00:00Z,SAMEA7082141,12d53276-6370-11ea-891f-fa163e2f1184,ERP142199,BTAUD0032a,12d53276-6370-11ea-891f-fa163e2f1184,NKLS02,202,8954454970,1996905524,"sra,run.zq,cram","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2021-10-04T23:59:00Z,1,female,female,
ERR6718569,Bladder,Bos taurus,WXS,PRJEB57227,SAMEA7082174,WELLCOME SANGER INSTITUTE,cattle,public,2021-09-14,2021-09-14,2021-10-20,2021-09-14,ERX6343163,SAMEA7082174,SC,Wellcome Sanger Institute,2021-09-14T09:15:48Z,2021-09-14T09:15:48Z,public,Illumina NovaSeq 6000,DN610740G:H6,PAIRED,Hybrid Selection,GENOMIC,Bos taurus,Bladder,ILLUMINA,2021-09-28T00:00:00Z,SAMEA7082174,13ba987a-6370-11ea-891f-fa163e2f1184,ERP142199,BTAUD0047b,13ba987a-6370-11ea-891f-fa163e2f1184,NKLS02,202,10577721516,1828665825,"sra,run.zq,cram","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",2021-10-05T00:38:00Z,1,female,female,
ERR6718359,Bladder,Bos taurus,WXS,PRJEB57227,SAMEA7082140,WELLCOME SANGER INSTITUTE,cattle,public,2021-09-14,2021-09-14,2021-09-14,2021-09-14,ERX6342953,SAMEA7082140,SC,Wellcome Sanger Institute,2021-09-14T09:15:48Z,2021-09-14T09:15:48Z,public,Illumina NovaSeq 6000,DN610740G:F2,PAIRED,Hybrid Selection,GENOMIC,Bos taurus,Bladder,ILLUMINA,2021-09-28T00:00:00Z,SAMEA7082140,12ce790e-6370-11ea-891f-fa163e2f1184,ERP142199,BTAUD0032b,12ce790e-6370-11ea-891f-fa163e2f1184,NKLS02,202,9374217838,1864538462,"sra,cram,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2021-10-05T00:03:00Z,1,female,female,
ERR6718360,Bladder,Bos taurus,WXS,PRJEB57227,SAMEA7082141,WELLCOME SANGER INSTITUTE,cattle,public,2021-09-14,2021-09-14,2021-10-20,2021-09-14,ERX6342954,SAMEA7082141,SC,Wellcome Sanger Institute,2021-09-14T09:15:48Z,2021-09-14T09:15:48Z,public,Illumina NovaSeq 6000,DN610740G:G2,PAIRED,Hybrid Selection,GENOMIC,Bos taurus,Bladder,ILLUMINA,2021-09-28T00:00:00Z,SAMEA7082141,12d53276-6370-11ea-891f-fa163e2f1184,ERP142199,BTAUD0032a,12d53276-6370-11ea-891f-fa163e2f1184,NKLS02,202,8985808602,1990896010,"cram,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",2021-10-04T23:55:00Z,1,female,female,
ERR6718393,Bladder,Bos taurus,WXS,PRJEB57227,SAMEA7082174,WELLCOME SANGER INSTITUTE,cattle,public,2021-09-14,2021-09-14,2021-10-20,2021-09-14,ERX6342987,SAMEA7082174,SC,Wellcome Sanger Institute,2021-09-14T09:15:48Z,2021-09-14T09:15:48Z,public,Illumina NovaSeq 6000,DN610740G:H6,PAIRED,Hybrid Selection,GENOMIC,Bos taurus,Bladder,ILLUMINA,2021-09-28T00:00:00Z,SAMEA7082174,13ba987a-6370-11ea-891f-fa163e2f1184,ERP142199,BTAUD0047b,13ba987a-6370-11ea-891f-fa163e2f1184,NKLS02,202,10575360136,1815173852,"run.zq,cram,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2021-10-05T02:03:00Z,1,female,female,
ERR6718408,Bladder,Bos taurus,WXS,PRJEB57227,SAMEA7082193,WELLCOME SANGER INSTITUTE,cattle,public,2021-09-14,2021-09-14,2021-10-20,2021-09-14,ERX6343002,SAMEA7082193,SC,Wellcome Sanger Institute,2021-09-14T09:15:48Z,2021-09-14T09:15:48Z,public,Illumina NovaSeq 6000,DN610740G:G8,PAIRED,Hybrid Selection,GENOMIC,Bos taurus,Bladder,ILLUMINA,2021-09-28T00:00:00Z,SAMEA7082193,142bbabe-6370-11ea-891f-fa163e2f1184,ERP142199,BTAUD0054b,142bbabe-6370-11ea-891f-fa163e2f1184,NKLS02,202,10577785752,2031673329,"sra,run.zq,cram","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-10-05T02:20:00Z,1,female,female,
