Run,Age,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,REPLICATE,create_date,version,Sample Name,sex,SRA Study,sub_species,Tissue
SRR11671221,missing,WXS,GCF_000002285.3,199,14272703698,PRJNA630029,SAMN14820573,Model organism or animal,Great Dane,5366552919,UNIVERSITY OF HELSINKI,public,"sra,bam,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8232167,Illumina HiSeq 2500,TD248A1_ES,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2020-05-06T00:00:00Z,Target capture 10,2020-05-06T02:18:00Z,1,TD248A1_ES,female,SRP259633,familiaris,Blood
SRR11671222,missing,WXS,GCF_000002285.3,201,19662840489,PRJNA630029,SAMN14820572,Model organism or animal,Great Dane,7177298992,UNIVERSITY OF HELSINKI,public,"sra,bam,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8232166,Illumina HiSeq 2500,TD015A1_ES,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2020-05-06T00:00:00Z,Target capture 9,2020-05-06T00:02:00Z,1,TD015A1_ES,female,SRP259633,familiaris,Blood
SRR11671223,missing,WXS,GCF_000002285.3,200,12049111635,PRJNA630029,SAMN14820571,Model organism or animal,Great Dane,4361757855,UNIVERSITY OF HELSINKI,public,"sra,run.zq,bam","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX8232165,Illumina HiSeq 2500,TD199A1_ES,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2020-05-06T00:00:00Z,Target capture 8,2020-05-06T01:59:00Z,1,TD199A1_ES,female,SRP259633,familiaris,Blood
SRR11671224,missing,WXS,GCF_000002285.3,201,8924313843,PRJNA630029,SAMN14820570,Model organism or animal,Great Dane,3471638975,UNIVERSITY OF HELSINKI,public,"sra,run.zq,bam","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8232164,Illumina HiSeq 2500,TD280A1_ES,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2020-05-05T00:00:00Z,Target capture 7,2020-05-05T20:51:00Z,1,TD280A1_ES,female,SRP259633,familiaris,Blood
SRR11671225,missing,WXS,GCF_000002285.3,201,4162799537,PRJNA630029,SAMN14820569,Model organism or animal,Great Dane,1473925230,UNIVERSITY OF HELSINKI,public,"bam,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX8232163,Illumina HiSeq 2500,TD303A1_ES,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2020-05-05T00:00:00Z,Target capture 6,2020-05-05T20:43:00Z,1,TD303A1_ES,female,SRP259633,familiaris,Blood
SRR11671226,missing,WXS,GCF_000002285.3,201,7658478823,PRJNA630029,SAMN14820568,Model organism or animal,Great Dane,3002664503,UNIVERSITY OF HELSINKI,public,"bam,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX8232162,Illumina HiSeq 2500,TD300A1_ES,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2020-05-05T00:00:00Z,Target capture 5,2020-05-05T20:54:00Z,1,TD300A1_ES,male,SRP259633,familiaris,Blood
SRR11671227,missing,WXS,GCF_000002285.3,200,8550569201,PRJNA630029,SAMN14820567,Model organism or animal,Great Dane,3108986388,UNIVERSITY OF HELSINKI,public,"bam,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX8232161,Illumina HiSeq 2500,TD338A1_ES,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2020-05-05T00:00:00Z,Target capture 4,2020-05-05T20:58:00Z,1,TD338A1_ES,female,SRP259633,familiaris,Blood
SRR11671228,missing,WGS,GCA_000002285.2,300,64308215700,PRJNA630029,SAMN14820585,Model organism or animal,Great Dane,25381309508,UNIVERSITY OF HELSINKI,public,"run.zq,bam,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8232160,HiSeq X Ten,TD406A1,PAIRED,unspecified,GENOMIC,Canis lupus familiaris,ILLUMINA,2020-05-06T00:00:00Z,WGS 6,2020-05-06T07:41:00Z,1,TD406A1,male,SRP259633,familiaris,Blood
SRR11671229,missing,WGS,GCA_000002285.2,300,66288786600,PRJNA630029,SAMN14820584,Model organism or animal,Great Dane,26770692290,UNIVERSITY OF HELSINKI,public,"run.zq,bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8232159,HiSeq X Ten,TD365A1,PAIRED,unspecified,GENOMIC,Canis lupus familiaris,ILLUMINA,2020-05-06T00:00:00Z,WGS 5,2020-05-06T05:20:00Z,1,TD365A1,male,SRP259633,familiaris,Blood
SRR11671230,missing,WXS,GCF_000002285.3,200,7083265340,PRJNA630029,SAMN14820566,Model organism or animal,Great Dane,2681291971,UNIVERSITY OF HELSINKI,public,"run.zq,bam,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX8232158,Illumina HiSeq 2500,TD328A1_ES,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2020-05-05T00:00:00Z,Target capture 3,2020-05-05T20:51:00Z,1,TD328A1_ES,male,SRP259633,familiaris,Blood
