Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,sub_species,Tissue
SRR13050678,13yrs,AMPLICON,361,210260786,PRJNA677995,SAMN16786191,Model organism or animal,Jack Russel Terrier,106882381,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Normal,SRX9500161,Illumina MiSeq,Pt40_normal_ccap,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-01-04T00:00:00Z,2020-11-12T18:06:00Z,1,Pt40_normal,male,SRP292399,familiaris,Peripheral blood
SRR13050679,14yrs,AMPLICON,343,166868373,PRJNA677995,SAMN16786190,Model organism or animal,Corgi,85490913,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Complex Hyperplasia w/Hematoma,SRX9500160,Illumina MiSeq,Pt39_tumor_ccap,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-01-04T00:00:00Z,2020-11-12T18:06:00Z,1,Pt39_tumor,female,SRP292399,familiaris,Spleen
SRR13050680,14yrs,AMPLICON,355,198768314,PRJNA677995,SAMN16786189,Model organism or animal,Corgi,101287314,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX9500159,Illumina MiSeq,Pt39_normal_ccap,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-01-04T00:00:00Z,2020-11-12T18:06:00Z,1,Pt39_normal,female,SRP292399,familiaris,Peripheral blood
SRR13050681,12yrs,AMPLICON,357,152965276,PRJNA677995,SAMN16786188,Model organism or animal,Mix,78124088,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Benign Complex Nodular Hyperplasia,SRX9500158,Illumina MiSeq,Pt37_tumor_ccap,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-01-04T00:00:00Z,2020-11-12T18:06:00Z,1,Pt37_tumor,male,SRP292399,familiaris,Spleen
SRR13050682,12yrs,AMPLICON,358,961755081,PRJNA677995,SAMN16786187,Model organism or animal,Mix,492634101,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Normal,SRX9500157,Illumina MiSeq,Pt37_normal_ccap,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-01-04T00:00:00Z,2020-11-12T18:09:00Z,1,Pt37_normal,male,SRP292399,familiaris,Peripheral blood
SRR13050683,13yrs,AMPLICON,353,179939432,PRJNA677995,SAMN16786186,Model organism or animal,Mix,92058121,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Benign Complex Nodular Hyperplasia,SRX9500156,Illumina MiSeq,Pt32_tumor_ccap,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-01-04T00:00:00Z,2020-11-12T18:06:00Z,1,Pt32_tumor,male,SRP292399,familiaris,Spleen
SRR13050684,13yrs,AMPLICON,352,180007348,PRJNA677995,SAMN16786185,Model organism or animal,Mix,92436032,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Normal,SRX9500155,Illumina MiSeq,Pt32_normal_ccap,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-01-04T00:00:00Z,2020-11-12T18:07:00Z,1,Pt32_normal,male,SRP292399,familiaris,Peripheral blood
SRR13050685,11 years,AMPLICON,361,228724333,PRJNA677995,SAMN16786184,Model organism or animal,Mix,116186709,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Benign Complex Nodular Hyperplasia,SRX9500154,Illumina MiSeq,Pt30_tumor_ccap,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-01-04T00:00:00Z,2020-11-12T18:06:00Z,1,Pt30_tumor_TF,female,SRP292399,familiaris,Spleen
SRR13050686,11 years,AMPLICON,362,155949171,PRJNA677995,SAMN16786183,Model organism or animal,Mix,79131956,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Normal,SRX9500153,Illumina MiSeq,Pt30_normal_ccap,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-01-04T00:00:00Z,2020-11-12T18:07:00Z,1,Pt30_normal_TF,female,SRP292399,familiaris,Peripheral blood
SRR13050687,9yrs 9 months,AMPLICON,369,200600109,PRJNA677995,SAMN16786182,Model organism or animal,Portuguese water dog,103031991,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Hemangiosarcoma,SRX9500152,Illumina MiSeq,Pt27_tumor_ccap,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-01-04T00:00:00Z,2020-11-12T18:06:00Z,1,Pt27_tumor,male,SRP292399,familiaris,Spleen
