Run,Age,Assay Type,AssemblyName,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Birth_date,BREED,Bytes,Center Name,collected_by,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,death_date,dev_stage,disease,Ecotype,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,store_cond,Strain,sub_species,Tissue,Treatment
SRR13571580,6.958904109589041,WXS,AAEX03,250,3792558000,Suter_NCState,PRJNA695534,SAMN17615930,Model organism or animal,2007-08-11T00:00:00,Golden Retriever,1583579862,CORNELL UNIVERSITY,Suter_NCState,2014-07-25,public,not applicable,"run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2015-01-04T00:00:00,adult,DLBCL,not applicable,SRX9969864,Illumina HiSeq 2500,not applicable,4152.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:51:00Z,1,4152.b,female,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Single Agent; Chemotherapy after relapse (Y/N): NA
SRR13571581,6.958904109589041,WXS,AAEX03,249,3513172875,Suter_NCState,PRJNA695534,SAMN17615929,Model organism or animal,2007-08-11T00:00:00,Golden Retriever,1528811060,CORNELL UNIVERSITY,Suter_NCState,2014-07-25,public,not applicable,"run.zq,sra,bam","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",2015-01-04T00:00:00,adult,DLBCL,not applicable,SRX9969863,Illumina HiSeq 2500,not applicable,4152.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:06:00Z,1,4152.a,female,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Single Agent; Chemotherapy after relapse (Y/N): NA
SRR13571582,13.772602739726027,WXS,AAEX03,250,2368046250,Suter_NCState,PRJNA695534,SAMN17615928,Model organism or animal,2000-09-25T00:00:00,Jack Russell Terrier,1006613820,CORNELL UNIVERSITY,Suter_NCState,2014-07-01,public,not applicable,"sra,run.zq,bam","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2014-08-27T00:00:00,adult,DLBCL,not applicable,SRX9969862,Illumina HiSeq 2500,not applicable,4151.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:04:00Z,1,4151.b,female,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Induction only; Chemotherapy after relapse (Y/N): NA
SRR13571583,13.772602739726027,WXS,AAEX03,249,2168710250,Suter_NCState,PRJNA695534,SAMN17615927,Model organism or animal,2000-09-25T00:00:00,Jack Russell Terrier,946370477,CORNELL UNIVERSITY,Suter_NCState,2014-07-01,public,not applicable,"run.zq,bam,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",2014-08-27T00:00:00,adult,DLBCL,not applicable,SRX9969861,Illumina HiSeq 2500,not applicable,4151.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:04:00Z,1,4151.a,female,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Induction only; Chemotherapy after relapse (Y/N): NA
SRR13571584,6.958904109589041,WXS,AAEX03,250,2982627000,Suter_NCState,PRJNA695534,SAMN17615926,Model organism or animal,2007-07-18T00:00:00,Golden Retriever,1243098275,CORNELL UNIVERSITY,Suter_NCState,2014-07-01,public,not applicable,"run.zq,bam,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2015-07-01T00:00:00,adult,DLBCL,not applicable,SRX9969860,Illumina HiSeq 2500,not applicable,4150.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:07:00Z,1,4150.b,male,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571585,6.958904109589041,WXS,AAEX03,250,5151243250,Suter_NCState,PRJNA695534,SAMN17615925,Model organism or animal,2007-07-18T00:00:00,Golden Retriever,2241420342,CORNELL UNIVERSITY,Suter_NCState,2014-07-01,public,not applicable,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",2015-07-01T00:00:00,adult,DLBCL,not applicable,SRX9969859,Illumina HiSeq 2500,not applicable,4150.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:08:00Z,1,4150.a,male,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571586,6.624657534246575,WXS,AAEX03,250,3049627500,Suter_NCState,PRJNA695534,SAMN17615924,Model organism or animal,2007-11-04T00:00:00,Labrador Retriever,1300539629,CORNELL UNIVERSITY,Suter_NCState,2014-06-18,public,not applicable,"sra,bam,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2017-01-31T00:00:00,adult,DLBCL,not applicable,SRX9969858,Illumina HiSeq 2500,not applicable,4148.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:06:00Z,1,4148.b,female,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571587,6.624657534246575,WXS,AAEX03,250,4175461750,Suter_NCState,PRJNA695534,SAMN17615923,Model organism or animal,2007-11-04T00:00:00,Labrador Retriever,1737344267,CORNELL UNIVERSITY,Suter_NCState,2014-06-18,public,not applicable,"run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",2017-01-31T00:00:00,adult,DLBCL,not applicable,SRX9969857,Illumina HiSeq 2500,not applicable,4148.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:06:00Z,1,4148.a,female,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571588,8.868493150684932,WXS,AAEX03,250,3561680500,Suter_NCState,PRJNA695534,SAMN17615922,Model organism or animal,2005-08-06T00:00:00,German Shepherd,1583178654,CORNELL UNIVERSITY,Suter_NCState,2014-06-17,public,not applicable,"run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",2015-10-12T00:00:00,adult,DLBCL,not applicable,SRX9969856,Illumina HiSeq 2500,not applicable,4147.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:05:00Z,1,4147.b,female,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571589,8.868493150684932,WXS,AAEX03,250,2025920500,Suter_NCState,PRJNA695534,SAMN17615921,Model organism or animal,2005-08-06T00:00:00,German Shepherd,855556974,CORNELL UNIVERSITY,Suter_NCState,2014-06-17,public,not applicable,"run.zq,sra,bam","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2015-10-12T00:00:00,adult,DLBCL,not applicable,SRX9969855,Illumina HiSeq 2500,not applicable,4147.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:04:00Z,1,4147.a,female,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
