Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,collected_by,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,ID,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,Strain,sub_species,Tissue,disease,Treatment,disease_stage
SRR17139200,15,WXS,152,16559455472,PRJNA786469,SAMN23673750,Model organism or animal,Labrador Retriever,11801972205,CNRS - UNIVERSITY RENNES1,Wisconsin,public,not applicable,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX13323647,100,Illumina HiSeq 2000,not applicable,LID100,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:13:00Z,1,CCB030039_0103,female,SRP349373,not applicable,familiaris,oral cavity,Melanoma-mucosa/maxilla,Started UW Melanoma Vaccine Therapy on 05dec07,
SRR17139201,9,WXS,152,12633601600,PRJNA786469,SAMN23673749,Model organism or animal,Labrador Retriever,8244864348,CNRS - UNIVERSITY RENNES1,Wisconsin,public,not applicable,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,SRX13323646,99,Illumina HiSeq 2000,not applicable,LID99,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:51:00Z,1,CCB030038_0201,male,SRP349373,not applicable,familiaris,oral cavity,,Started UW Melanoma Vaccine Therapy on 05dec07,
SRR17139202,9,WXS,152,18976652040,PRJNA786469,SAMN23673748,Model organism or animal,Labrador Retriever,13518968072,CNRS - UNIVERSITY RENNES1,Wisconsin,public,not applicable,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX13323645,98,Illumina HiSeq 2000,not applicable,LID98,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:20:00Z,1,CCB030038_0102,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma-mucosa/maxilla,Started UW Melanoma Vaccine Therapy on 05dec07,
SRR17139203,8,WXS,152,8064636792,PRJNA786469,SAMN23673747,Model organism or animal,Poodle,5167157274,CNRS - UNIVERSITY RENNES1,Wisconsin,public,not applicable,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX13323644,97,Illumina HiSeq 2000,not applicable,LID97,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:35:00Z,1,CCB030002_0200,male,SRP349373,not applicable,familiaris,oral cavity,,"Started Radiation & carbo on 22mai07\, started melanoma vaccine on 22aout07\, melanoma vaccine + dacarbazine on 03oct07\, prednisone on 05dec07",
SRR17139204,8,WXS,152,16541147680,PRJNA786469,SAMN23673746,Model organism or animal,Poodle,10842660403,CNRS - UNIVERSITY RENNES1,Wisconsin,public,not applicable,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX13323643,96,Illumina HiSeq 2000,not applicable,LID96,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:13:00Z,1,CCB030002_0100,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma-mucosa/mandible,"Started Radiation & carbo on 22mai07\, started melanoma vaccine on 22aout07\, melanoma vaccine + dacarbazine on 03oct07\, prednisone on 05dec07",
SRR17139205,12,WXS,152,11564560368,PRJNA786469,SAMN23673745,Model organism or animal,Golden Retriever,7496598147,CNRS - UNIVERSITY RENNES1,Colorado State,public,not applicable,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX13323642,95,Illumina HiSeq 2000,not applicable,LID95,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:47:00Z,1,CCB010284_0200,male,SRP349373,not applicable,familiaris,oral cavity,,Srugery on 11 nov 2010,
SRR17139206,12,WXS,152,10539717696,PRJNA786469,SAMN23673744,Model organism or animal,Golden Retriever,6880772799,CNRS - UNIVERSITY RENNES1,Colorado State,public,not applicable,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX13323641,94,Illumina HiSeq 2000,not applicable,LID94,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:44:00Z,1,CCB010284_0101,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma-lingual,Srugery on 11 nov 2010,
SRR17139207,8,WXS,152,8485824688,PRJNA786469,SAMN23673743,Model organism or animal,Golden Retriever,5572317330,CNRS - UNIVERSITY RENNES1,Colorado State,public,not applicable,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX13323640,93,Illumina HiSeq 2000,not applicable,LID93,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:46:00Z,1,CCB010032_0201,female,SRP349373,not applicable,familiaris,oral cavity,,Surgery on 4 octobre 2007,
SRR17139208,8,WXS,152,15401064080,PRJNA786469,SAMN23673742,Model organism or animal,Golden Retriever,10273940756,CNRS - UNIVERSITY RENNES1,Colorado State,public,not applicable,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX13323639,92,Illumina HiSeq 2000,not applicable,LID92,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:14:00Z,1,CCB010032_0102,female,SRP349373,not applicable,familiaris,oral cavity,Melanoma-lip,Surgery on 4 octobre 2007,
SRR17139209,13,WXS,152,16805544840,PRJNA786469,SAMN23673741,Model organism or animal,Labrador Retriever,11126205746,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX13323638,91,Illumina HiSeq 2000,not applicable,LID91,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:22:00Z,1,B00E033,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
