Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,lab_storage,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,sub_species,Tissue
SRR21943464,WXS,151,14763788971,PRJNA891496,SAMN31329655,Model organism or animal,Labrador Retriever,2930103133,GHENT UNIVERSITY,2017-01-01,public,"sra,bam,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Adult,SRX17927350,NextSeq 500,TVD6,RUN082084_TVD,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T13:43:00Z,1,TVD6,female,SRP403183,familiaris,Blood
SRR21943465,WXS,151,16216335274,PRJNA891496,SAMN31329654,Model organism or animal,Labrador Retriever,3166013943,GHENT UNIVERSITY,2017-01-01,public,"bam,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Adult,SRX17927349,NextSeq 500,TVD5,RUN082084_TVD5,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T12:00:00Z,1,TVD5,male,SRP403183,familiaris,Blood
SRR21943466,WXS,151,15247014650,PRJNA891496,SAMN31329653,Model organism or animal,Labrador Retriever,2962157583,GHENT UNIVERSITY,2017-01-01,public,"sra,bam,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Adult,SRX17927348,NextSeq 500,TVD4,RUN082084_TVD4,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T14:02:00Z,1,TVD4,female,SRP403183,familiaris,Blood
SRR21943467,WXS,151,12812223303,PRJNA891496,SAMN31329652,Model organism or animal,Bloodhound,2678772736,GHENT UNIVERSITY,2017-01-01,public,"sra,run.zq,bam","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Adult,SRX17927347,NextSeq 500,3NB,RUN082084_3NB,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-11-04T19:43:00Z,1,3NB,female,SRP403183,familiaris,Blood
SRR21943468,WXS,151,16036551280,PRJNA891496,SAMN31329651,Model organism or animal,Bloodhound,3446778523,GHENT UNIVERSITY,2017-01-01,public,"sra,bam,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Adult,SRX17927346,NextSeq 500,5NB,RUN082084_5NB,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T15:14:00Z,1,5NB,female,SRP403183,familiaris,Blood
SRR21943469,WXS,150,20601115354,PRJNA891496,SAMN31329615,Model organism or animal,Deerhound,4643348447,GHENT UNIVERSITY,2017-01-01,public,"sra,run.zq,bam","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Adult,SRX17927345,NextSeq 500,LDG-0005,LDG-0005,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-19T12:13:00Z,1,LDG-0005,female,SRP403183,familiaris,Blood
SRR21943470,WXS,151,17722445987,PRJNA891496,SAMN31329650,Model organism or animal,Bloodhound,3806907454,GHENT UNIVERSITY,2017-01-01,public,"run.zq,bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Adult,SRX17927344,NextSeq 500,4NB,RUN082084_4NB,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T20:05:00Z,1,4NB,male,SRP403183,familiaris,Blood
SRR21943471,WXS,151,19185952521,PRJNA891496,SAMN31329649,Model organism or animal,Bloodhound,4042453293,GHENT UNIVERSITY,2017-01-01,public,"sra,bam,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",Adult,SRX17927343,NextSeq 500,2NB,RUN082084_2NB,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T13:43:00Z,1,2NB,female,SRP403183,familiaris,Blood
SRR21943472,WXS,150,28471249401,PRJNA891496,SAMN31329620,Model organism or animal,Deerhound,7762080118,GHENT UNIVERSITY,2017-01-01,public,"bam,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Adult,SRX17927342,NextSeq 500,LDG-0010,LDG-00010,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-26T03:45:00Z,1,LDG-0010,male,SRP403183,familiaris,Blood
SRR21943473,WXS,151,21279984750,PRJNA891496,SAMN31329612,Model organism or animal,Malinois,5215807692,GHENT UNIVERSITY,2017-01-01,public,"bam,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Adult,SRX17927341,NextSeq 500,LDG-0002,LDG-0002,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T12:54:00Z,1,LDG-0002,female,SRP403183,familiaris,Blood
SRR21943474,WXS,150,31151605786,PRJNA891496,SAMN31329621,Model organism or animal,Deerhound,8340533802,GHENT UNIVERSITY,2017-01-01,public,"sra,bam,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Adult,SRX17927340,NextSeq 500,LDG-0011,LDG-00011,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T21:09:00Z,1,LDG-0011,male,SRP403183,familiaris,Blood
SRR21943475,WXS,151,27503971098,PRJNA891496,SAMN31329622,Model organism or animal,Labrador Retriever,7867887583,GHENT UNIVERSITY,2017-01-01,public,"run.zq,sra,bam","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",Adult,SRX17927339,NextSeq 500,226,hip_dysplasia_226,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-26T11:48:00Z,1,226,female,SRP403183,familiaris,Blood
SRR21943476,WXS,151,13730345074,PRJNA891496,SAMN31329623,Model organism or animal,Labrador Retriever,4636278261,GHENT UNIVERSITY,2017-01-01,public,"run.zq,sra,bam","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Adult,SRX17927338,NextSeq 500,306,hip_dysplasia_306,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T11:14:00Z,1,306,female,SRP403183,familiaris,Blood
SRR21943477,WXS,151,14650012552,PRJNA891496,SAMN31329624,Model organism or animal,Labrador Retriever,4334400312,GHENT UNIVERSITY,2017-01-01,public,"run.zq,bam,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Adult,SRX17927337,NextSeq 500,398,hip_dysplasia_398,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T12:39:00Z,1,398,male,SRP403183,familiaris,Blood
SRR21943478,WXS,151,18382601499,PRJNA891496,SAMN31329625,Model organism or animal,Labrador Retriever,5499711894,GHENT UNIVERSITY,2017-01-01,public,"sra,run.zq,bam","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Adult,SRX17927336,NextSeq 500,411,hip_dysplasia_411,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T12:13:00Z,1,411,male,SRP403183,familiaris,Blood
SRR21943479,WXS,151,16703155688,PRJNA891496,SAMN31329626,Model organism or animal,Labrador Retriever,4970349350,GHENT UNIVERSITY,2017-01-01,public,"run.zq,sra,bam","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Adult,SRX17927335,NextSeq 500,625,hip_dysplasia_625,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T14:05:00Z,1,625,female,SRP403183,familiaris,Blood
SRR21943480,WXS,151,21483940371,PRJNA891496,SAMN31329627,Model organism or animal,Labrador Retriever,7075676291,GHENT UNIVERSITY,2017-01-01,public,"bam,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Adult,SRX17927334,NextSeq 500,796,hip_dysplasia_796,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T12:53:00Z,1,796,male,SRP403183,familiaris,Blood
SRR21943481,WXS,150,23893711035,PRJNA891496,SAMN31329619,Model organism or animal,Deerhound,6344901913,GHENT UNIVERSITY,2017-01-01,public,"run.zq,bam,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Adult,SRX17927333,NextSeq 500,LDG-0009,LDG-0009,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-11-01T14:17:00Z,1,LDG-0009,female,SRP403183,familiaris,Blood
SRR21943482,WXS,150,18506987247,PRJNA891496,SAMN31329618,Model organism or animal,Deerhound,4122544781,GHENT UNIVERSITY,2017-01-01,public,"run.zq,sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Adult,SRX17927332,NextSeq 500,LDG-0008,LDG-0008,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T15:01:00Z,1,LDG-0008,female,SRP403183,familiaris,Blood
SRR21943483,WXS,150,19411175052,PRJNA891496,SAMN31329617,Model organism or animal,Deerhound,4309565801,GHENT UNIVERSITY,2017-01-01,public,"bam,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Adult,SRX17927331,NextSeq 500,LDG-0007,LDG-0007,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-19T04:30:00Z,1,LDG-0007,female,SRP403183,familiaris,Blood
SRR21943484,WXS,150,18010035251,PRJNA891496,SAMN31329616,Model organism or animal,Deerhound,4039664669,GHENT UNIVERSITY,2017-01-01,public,"bam,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",Adult,SRX17927330,NextSeq 500,LDG-0006,LDG-0006,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2023-02-16T00:00:00Z,2022-10-18T13:35:00Z,1,LDG-0006,female,SRP403183,familiaris,Blood
