Sample_id,Coverage,Breed,SampleName,DiseaseAcronym,Status,The_reason_to_exclude
ACKR000001,18.91,Cocker Spaniel,ACKR000001,NA,Normal,Pass QC
ACKR000002,18.4,Cocker Spaniel,ACKR000002,NA,Normal,Pass QC
ACKR000003,26.3,Cocker Spaniel,ACKR000003,NA,Normal,Pass QC
AESK000001,21.81,American Eskimo Dog,AESK000001,NA,Normal,Pass QC
AESK000002,17.62,American Eskimo Dog,AESK000002,NA,Normal,Pass QC
AESK000003,18.11,American Eskimo Dog,AESK000003,NA,Normal,Pass QC
AESK000004,18.78,American Eskimo Dog,AESK000004,NA,Normal,Pass QC
AESK000005,17.45,American Eskimo Dog,AESK000005,NA,Normal,Pass QC
AESK000006,17.61,American Eskimo Dog,AESK000006,NA,Normal,Pass QC
AFFN000001,14.36,Affenpinscher,AFFN000001,NA,Normal,Pass QC
AFFN000002,10.1,Affenpinscher,AFFN000002,NA,Normal,Pass QC
AFFN000003,18.1,Affenpinscher,AFFN000003,NA,Normal,Pass QC
AFFN000004,21.23,Affenpinscher,AFFN000004,NA,Normal,Pass QC
AFFN000005,18.43,Affenpinscher,AFFN000005,NA,Normal,Pass QC
AFFN000006,20.09,Affenpinscher,AFFN000006,NA,Normal,Pass QC
AFGH000001,19.65,Afghan Hound,AFGH000001,NA,Normal,Pass QC
AFOX000001,17.77,American Foxhound,AFOX000001,NA,Normal,Pass QC
AFOX000002,19.18,American Foxhound,AFOX000002,NA,Normal,Pass QC
AFOX000003,16.67,American Foxhound,AFOX000003,NA,Normal,Pass QC
AFOX000004,19.21,American Foxhound,AFOX000004,NA,Normal,Pass QC
AFOX000005,19.41,American Foxhound,AFOX000005,NA,Normal,Pass QC
AFOX000006,19.23,American Foxhound,AFOX000006,NA,Normal,Pass QC
AFOX000007,22.12,American Foxhound,AFOX000007,NA,Normal,Pass QC
AHRT000001,19.36,American Hairless Terrier,AHRT000001,NA,Normal,Pass QC
AHRT000002,15.93,American Hairless Terrier,AHRT000002,NA,Normal,Pass QC
AHRT000003,16.1,American Hairless Terrier,AHRT000003,NA,Normal,Pass QC
AHRT000004,19.75,American Hairless Terrier,AHRT000004,NA,Normal,Pass QC
AHRT000005,18,American Hairless Terrier,AHRT000005,NA,Normal,Pass QC
AIRT000001,23.39,Airedale Terrier,AIRT000001,NA,Normal,Pass QC
AKBH000001,20.17,Akbash,AKBH000001,NA,Normal,Pass QC
AKBH000002,19.69,Akbash,AKBH000002,NA,Normal,Pass QC
AKBH000003,20.34,Akbash,AKBH000003,NA,Normal,Pass QC
AKIN000001,21.02,Japanese Akita,AKIN000001,NA,Normal,Pass QC
AKIN000002,17.82,Japanese Akita,AKIN000002,NA,Normal,Pass QC
AKIT000001,18.2,American Akita,AKIT000001,NA,Normal,Pass QC
AKIT000002,18.55,Japanese Akita,AKIT000002,NA,Normal,Pass QC
AKIT000003,21.94,Japanese Akita,AKIT000003,NA,Normal,Pass QC
AKIT000004,18.25,American Akita,AKIT000004,NA,Normal,Pass QC
AKIT000005,19.31,American Akita,AKIT000005,NA,Normal,Pass QC
AKIT000006,21.78,American Akita,AKIT000006,NA,Normal,Pass QC
AKIT000007,21.76,American Akita,AKIT000007,NA,Normal,Pass QC
AKIT000008,19.06,American Akita,AKIT000008,NA,Normal,Pass QC
AKIT000009,21.29,American Akita,AKIT000009,NA,Normal,Pass QC
ALDB000001,19.31,Alpine Dachsbracke,ALDB000001,NA,Normal,Pass QC
ALDB000002,17.08,Alpine Dachsbracke,ALDB000002,NA,Normal,Pass QC
ALDB000003,16.96,Alpine Dachsbracke,ALDB000003,NA,Normal,Pass QC
ALDB000004,16.71,Alpine Dachsbracke,ALDB000004,NA,Normal,Pass QC
ALDB000005,17.59,Alpine Dachsbracke,ALDB000005,NA,Normal,Pass QC
ALDB000006,20.94,Alpine Dachsbracke,ALDB000006,NA,Normal,Pass QC
ALDB000007,18.9,Alpine Dachsbracke,ALDB000007,NA,Normal,Pass QC
AMAL000001,18.19,Alaskan Malamute,AMAL000001,NA,Normal,Pass QC
AMAL000002,17.99,Alaskan Malamute,AMAL000002,NA,Normal,Pass QC
AMAL000003,19.75,Alaskan Malamute,AMAL000003,NA,Normal,Pass QC
AMBD000001,19.43,American Bulldog,AMBD000001,NA,Normal,Pass QC
AMBD000002,17.01,American Bulldog,AMBD000002,NA,Normal,Pass QC
AMBD000003,17.67,American Bulldog,AMBD000003,NA,Normal,Pass QC
AMBD000004,18.95,American Bulldog,AMBD000004,NA,Normal,Pass QC
AMBD000005,17.85,American Bulldog,AMBD000005,NA,Normal,Pass QC
AMBD000006,17.95,American Bulldog,AMBD000006,NA,Normal,Pass QC
AMBD000007,18.16,American Bulldog,AMBD000007,NA,Normal,Pass QC
AMST000001,17.46,American Staffordshire Terrier,AMST000001,NA,Normal,Pass QC
AMST000002,18.61,American Staffordshire Terrier,AMST000002,NA,Normal,Pass QC
AMST000003,20.41,American Staffordshire Terrier,AMST000003,NA,Normal,Pass QC
AMST000004,17.63,American Staffordshire Terrier,AMST000004,NA,Normal,Pass QC
AMST000005,18.96,American Staffordshire Terrier,AMST000005,NA,Normal,Pass QC
AMST000006,20.68,American Staffordshire Terrier,AMST000006,NA,Normal,Pass QC
AMWS000001,19.38,American Water Spaniel,AMWS000001,NA,Normal,Pass QC
AMWS000002,19.94,American Water Spaniel,AMWS000002,NA,Normal,Pass QC
