"Run_ID","BioProject","Sample_ID","Case_ID","Breed","Age","Platform","ReleaseDate","Organization","Sex","Tissue","Tumor_type","Status","Symbol","Sample_status","Disease_stage","Survival_status","Tumor_grade"
"DRR483791","PRJDB16014","SAMD00623497","MD1","Miniature Dachshund",9,"ILLUMINA","2023-06-09T00:00:00Z","NIPS","male","Blood","Non-Tumor (Inflammatory Colorectal Polyp ICRP)","Normal",NA,NA,NA,NA,NA
"DRR483792","PRJDB16014","SAMD00623498","Beagle1","Beagle",1,"ILLUMINA","2023-06-09T00:00:00Z","NIPS","female","Blood","Non-Tumor (Inflammatory Colorectal Polyp ICRP)","Normal",NA,NA,NA,NA,NA
"DRR483793","PRJDB16014","SAMD00623499","MD2","Miniature Dachshund",9,"ILLUMINA","2023-06-09T00:00:00Z","NIPS","male","Blood","Non-Tumor (Inflammatory Colorectal Polyp ICRP)","Normal",NA,NA,NA,NA,NA
"DRR483794","PRJDB16014","SAMD00623500","Beagle2","Beagle",1,"ILLUMINA","2023-06-09T00:00:00Z","NIPS","female","Blood","Non-Tumor (Inflammatory Colorectal Polyp ICRP)","Normal",NA,NA,NA,NA,NA
"SRR21943464","PRJNA891496","SAMN31329655","TVD6","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943465","PRJNA891496","SAMN31329654","TVD5","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943466","PRJNA891496","SAMN31329653","TVD4","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943467","PRJNA891496","SAMN31329652","3NB","Bloodhound",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943468","PRJNA891496","SAMN31329651","5NB","Bloodhound",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943469","PRJNA891496","SAMN31329615","LDG-0005","Deerhound",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943470","PRJNA891496","SAMN31329650","4NB","Bloodhound",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943471","PRJNA891496","SAMN31329649","2NB","Bloodhound",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943472","PRJNA891496","SAMN31329620","LDG-0010","Deerhound",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943473","PRJNA891496","SAMN31329612","LDG-0002","Malinois",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943474","PRJNA891496","SAMN31329621","LDG-0011","Deerhound",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943475","PRJNA891496","SAMN31329622","226","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943476","PRJNA891496","SAMN31329623","306","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943477","PRJNA891496","SAMN31329624","398","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943478","PRJNA891496","SAMN31329625","411","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943479","PRJNA891496","SAMN31329626","625","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943480","PRJNA891496","SAMN31329627","796","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943481","PRJNA891496","SAMN31329619","LDG-0009","Deerhound",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943482","PRJNA891496","SAMN31329618","LDG-0008","Deerhound",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943483","PRJNA891496","SAMN31329617","LDG-0007","Deerhound",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943484","PRJNA891496","SAMN31329616","LDG-0006","Deerhound",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943485","PRJNA891496","SAMN31329659","S4","Dutch Partridge Dog",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943486","PRJNA891496","SAMN31329658","S3","Dutch Partridge Dog",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943487","PRJNA891496","SAMN31329657","S2","Dutch Partridge Dog",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943488","PRJNA891496","SAMN31329656","S1","Dutch Partridge Dog",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943489","PRJNA891496","SAMN31329628","797","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943490","PRJNA891496","SAMN31329629","805","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943491","PRJNA891496","SAMN31329630","849","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943492","PRJNA891496","SAMN31329613","LDG-0003","Malinois",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943493","PRJNA891496","SAMN31329631","874","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943494","PRJNA891496","SAMN31329632","891","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943495","PRJNA891496","SAMN31329633","892","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943496","PRJNA891496","SAMN31329634","893","Crossbreed",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943497","PRJNA891496","SAMN31329648","1NB","Bloodhound",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943498","PRJNA891496","SAMN31329647","10644Blood","Jack Russell Terrier",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943499","PRJNA891496","SAMN31329646","10917Blood","Crossbreed",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943500","PRJNA891496","SAMN31329645","21343Blood","French Bulldog",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943501","PRJNA891496","SAMN31329644","10791Blood","Chesapeake Bay Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943502","PRJNA891496","SAMN31329643","10996Blood","American Staffordshire Terrier",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943503","PRJNA891496","SAMN31329642","871Blood","Irish Setter",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943504","PRJNA891496","SAMN31329611","LDG-0001","Malinois",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943505","PRJNA891496","SAMN31329635","894","Crossbreed",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
