File_name	Total_Pairs	Uniq_mapped_rate	Uniq_Exonic_region_mapped_rate	CancerType	Status	UnmappedRate	DuplicateMapped_rate	Onemapped_rate	IncorrectMapped_rate	Total_line	Total_unique	Total_pass	Total_Unmapped	Total_Duplicate	Total_Onemapped	Total_Incorrect
DRR345016	96744187	0.741321248583132	0.6784159375064641	HS	Normal	0.15905591826411233	0.002415230384849893	0.03388235615644793	0.06332405790954654	193488374	143437043	97309976	30775471	467319	6555842	12252469
DRR345017	89059771	0.7044286864380103	0.6552788154441632	HS	Tumor	0.18588874431307487	0.003024738296261732	0.043142318432415463	0.06351398545590242	178119542	125472515	82219481	33110418	538765	7684490	11313082
DRR345018	99517119	0.7284197455515167	0.6886166577375329	HS	Normal	0.1669270942218494	0.0020915547203491694	0.034558275345571446	0.06800256647301053	199034238	144980469	99835966	33224207	416291	6878280	13534839
DRR345019	87671075	0.7236002581239023	0.6798116452763047	HS	Tumor	0.16808790698642626	0.0021612202200098495	0.03685772074769244	0.06929208407676078	175342150	126877625	86252887	29472895	378953	6462712	12149823
DRR345020	99614546	0.6837835560682072	0.6386670642014839	HS	Normal	0.20212043128721383	0.002904475416672581	0.03761677034596935	0.07357422981177869	199229092	136229577	87005344	40268270	578656	7494355	14658127
DRR345021	97569652	0.7318787198298093	0.6775466189543884	HS	Tumor	0.16594737880176103	0.0022536874478142036	0.03774332412295577	0.062175603537050636	195139304	142818304	96766059	32382856	439783	7365206	12132904
DRR345022	47933909	0.8020627631266208	0.797111083340561	HS	Normal	0.11325149801573663	0.0010346120530249265	0.030965886800511096	0.05268435336663238	95867818	76892007	61291471	10857174	99186	2968632	5050734
DRR345023	44614477	0.8150613308769707	0.7970781168552508	HS	Tumor	0.1040285981610857	0.0010754132565534726	0.03016320240625033	0.04967067080042203	89228954	72727070	57969156	9282363	95958	2691431	4432062
DRR345024	53327503	0.8283920494083512	0.7191218156876054	HS	Normal	0.13032851922581112	0.0018089727546403214	0.023644506662912755	0.015825398762811003	106655006	88352159	63535965	13900189	192936	2521805	1687858
DRR345025	40706373	0.6272713611699082	0.7697344773478376	HS	Tumor	0.25550943828869255	0.0010903083897943941	0.05412374863267725	0.062004934706415625	81412746	51067884	39308711	20801725	88765	4406363	5047992
DRR483792	23429697	0.9258685462300259	0.5658459934173149	NonT	Normal	0.0123161217151037	0.04839582432500087	0.0105543191617032	0.0028651458872899637	46859394	43385639	24549590	577126	2267799	494569	134259
DRR483794	10438614	0.9108634537113836	0.5867315225924028	NonT	Normal	0.02210097049282596	0.04326695095728226	0.009970049663681405	0.013798287780350917	20877228	19016304	11157465	461407	903294	208147	288070
DRR483791	26452365	0.9241628489550934	0.5589450719583537	NonT	Normal	0.013816269358146237	0.04929234115739746	0.010117809882027562	0.002610655039728962	52904730	48892586	27328270	730946	2607798	535280	138116
