File_name	fra30	fra60	Cancer_Type	Status
DRR345016	0.754011	0.686212	HS	Normal
DRR345017	0.711046	0.638959	HS	Tumor
DRR345018	0.750081	0.678118	HS	Normal
DRR345019	0.746016	0.671858	HS	Tumor
DRR345020	0.713079	0.635399	HS	Normal
DRR345021	0.737438	0.668720	HS	Tumor
DRR345022	0.797101	0.738580	HS	Normal
DRR345023	0.804794	0.748940	HS	Tumor
DRR345024	0.716184	0.690263	HS	Normal
DRR345025	0.621427	0.546515	HS	Tumor
DRR483792	0.897067	0.859439	NonT	Normal
DRR483794	0.891946	0.852044	NonT	Normal
DRR483791	0.894113	0.856484	NonT	Normal
DRR483793	0.891515	0.853722	NonT	Normal
ERR9923005	0.820747	0.797363	MT	Normal
ERR9923059	0.797304	0.770403	MT	Tumor
ERR9923060	0.799751	0.775919	MT	Tumor
ERR9923006	0.816389	0.795407	MT	Normal
ERR9923061	0.814635	0.789472	MT	Tumor
ERR9923007	0.815594	0.795334	MT	Normal
ERR9923062	0.822455	0.798733	MT	Tumor
ERR9923008	0.820568	0.801344	MT	Normal
ERR9923063	0.818669	0.794240	MT	Tumor
ERR9923064	0.796319	0.773660	MT	Tumor
ERR9923009	0.820614	0.801080	MT	Normal
ERR9923065	0.802814	0.778504	MT	Tumor
ERR9923010	0.828166	0.808483	MT	Normal
ERR9923066	0.809126	0.782104	MT	Tumor
ERR9923011	0.823320	0.801935	MT	Normal
ERR9923067	0.797723	0.768215	MT	Tumor
ERR9923012	0.811684	0.788472	MT	Normal
ERR9923068	0.797768	0.773817	MT	Tumor
ERR9923013	0.813237	0.790671	MT	Normal
ERR9923069	0.799736	0.773851	MT	Tumor
ERR9923014	0.802559	0.779462	MT	Normal
ERR9923070	0.786831	0.757148	MT	Tumor
ERR9923015	0.810579	0.788857	MT	Normal
ERR9923071	0.783517	0.750430	MT	Tumor
ERR9923016	0.818760	0.797526	MT	Normal
ERR9923072	0.790437	0.764187	MT	Tumor
ERR9923017	0.819291	0.798613	MT	Normal
ERR9923073	0.802305	0.777290	MT	Tumor
ERR9923018	0.827084	0.804249	MT	Normal
ERR9923074	0.798248	0.771582	MT	Tumor
ERR9923019	0.797408	0.771666	MT	Normal
ERR9923075	0.804801	0.781855	MT	Tumor
ERR9923020	0.796266	0.772407	MT	Normal
ERR9923076	0.793958	0.768768	MT	Tumor
ERR9923021	0.806582	0.782891	MT	Normal
ERR9923077	0.793069	0.763339	MT	Tumor
ERR9923022	0.798713	0.774898	MT	Normal
ERR9923078	0.816997	0.791636	MT	Tumor
ERR9923023	0.787008	0.761977	MT	Normal
ERR9923079	0.803285	0.779360	MT	Tumor
ERR9923024	0.819170	0.795201	MT	Normal
ERR9923080	0.802201	0.770910	MT	Tumor
ERR9923025	0.789695	0.765040	MT	Normal
ERR9923081	0.814249	0.789308	MT	Tumor
ERR9923026	0.805400	0.780181	MT	Normal
ERR9923082	0.813829	0.790414	MT	Tumor
ERR9923027	0.792629	0.767831	MT	Normal
ERR9923083	0.795600	0.765420	MT	Tumor
ERR9923028	0.802434	0.780041	MT	Normal
ERR9923084	0.787671	0.768194	MT	Tumor
ERR9923029	0.782148	0.757828	MT	Normal
ERR9923085	0.803787	0.779599	MT	Tumor
ERR9923030	0.790431	0.766430	MT	Normal
ERR9923086	0.803070	0.782151	MT	Tumor
ERR9923031	0.803697	0.775600	MT	Normal
ERR9923087	0.811396	0.785926	MT	Tumor
ERR9923032	0.792135	0.768246	MT	Normal
ERR9923088	0.801040	0.776338	MT	Tumor
ERR9923033	0.790307	0.767026	MT	Normal
ERR9923089	0.799808	0.775966	MT	Tumor
ERR9923034	0.790873	0.767648	MT	Normal
ERR9923090	0.788723	0.762537	MT	Tumor
ERR9923035	0.832568	0.809594	MT	Normal
ERR9923091	0.807988	0.782696	MT	Tumor
ERR9923036	0.811536	0.780041	MT	Normal
ERR9923092	0.801184	0.776190	MT	Tumor
ERR9923037	0.797376	0.774256	MT	Normal
ERR9923093	0.790212	0.765551	MT	Tumor
ERR9923038	0.807600	0.783850	MT	Normal
ERR9923094	0.796235	0.771271	MT	Tumor
ERR9923039	0.798240	0.776536	MT	Normal
ERR9923095	0.748101	0.717878	MT	Tumor
ERR9923040	0.798055	0.776145	MT	Normal
ERR9923096	0.791531	0.765847	MT	Tumor
ERR9923041	0.797264	0.771439	MT	Normal
ERR9923097	0.788776	0.763827	MT	Tumor
ERR9923042	0.788855	0.766764	MT	Normal
ERR9923098	0.794588	0.770191	MT	Tumor
ERR9923043	0.791403	0.768937	MT	Normal
ERR9923099	0.785141	0.758185	MT	Tumor
ERR9923100	0.811496	0.789704	MT	Tumor
ERR9923044	0.824583	0.802519	MT	Normal
ERR9923101	0.797779	0.769499	MT	Tumor
ERR9923045	0.789097	0.756707	MT	Normal
ERR9923102	0.792588	0.766233	MT	Tumor
ERR9923046	0.796787	0.765153	MT	Normal
ERR9923103	0.792715	0.763040	MT	Tumor
ERR9923104	0.815903	0.790160	MT	Tumor
ERR9923047	0.794565	0.764443	MT	Normal
ERR9923048	0.790753	0.758063	MT	Normal
ERR9923105	0.782470	0.754343	MT	Tumor
ERR9923049	0.793475	0.762570	MT	Normal
ERR9923106	0.774747	0.745686	MT	Tumor
ERR9923050	0.787185	0.754616	MT	Normal
ERR9923107	0.787091	0.757740	MT	Tumor
ERR9923051	0.814027	0.785244	MT	Normal
ERR9923108	0.794051	0.764690	MT	Tumor
ERR9923052	0.824817	0.801251	MT	Normal
ERR9923109	0.804099	0.778079	MT	Tumor
