SampleName	Provided_Breeds	BreedQC	DiseaseAcronym
JSPZ000001	Japanese Spitz	Pass QC	NonT
JSPZ000011	Japanese Spitz	Pass QC	NonT
JSPZ000008	Japanese Spitz	Pass QC	NonT
JSPZ000002	Japanese Spitz	Pass QC	NonT
JSPZ000010	Japanese Spitz	Pass QC	NonT
JSPZ000003	Japanese Spitz	Pass QC	NonT
JSPZ000012	Japanese Spitz	Pass QC	NonT
JSPZ000007	Japanese Spitz	Pass QC	NonT
JSPZ000009	Japanese Spitz	Pass QC	NonT
JSPZ000004	Japanese Spitz	Pass QC	NonT
JSPZ000005	Japanese Spitz	Pass QC	NonT
JSPZ000006	Japanese Spitz	Pass QC	NonT
APPZ000011	Appenzeller Sennenhund	Pass QC	NonT
APPZ000013	Appenzeller Sennenhund	Pass QC	NonT
APPZ000002	Appenzeller Sennenhund	Pass QC	NonT
APPZ000006	Appenzeller Sennenhund	Pass QC	NonT
APPZ000005	Appenzeller Sennenhund	Pass QC	NonT
APPZ000012	Appenzeller Sennenhund	Pass QC	NonT
APPZ000003	Appenzeller Sennenhund	Pass QC	NonT
APPZ000010	Appenzeller Sennenhund	Pass QC	NonT
APPZ000009	Appenzeller Sennenhund	Pass QC	NonT
APPZ000014	Appenzeller Sennenhund	Pass QC	NonT
APPZ000007	Appenzeller Sennenhund	Pass QC	NonT
APPZ000008	Appenzeller Sennenhund	Pass QC	NonT
APPZ000001	Appenzeller Sennenhund	Pass QC	NonT
APPZ000004	Appenzeller Sennenhund	Pass QC	NonT
CCB010089	Rottweiler	Pass QC	OSA
CCB050025	Rottweiler	Pass QC	OSA
CCB010024	Rottweiler	Pass QC	OSA
T-843	Rottweiler	Pass QC	OSA
CCB050320	Rottweiler	Pass QC	OSA
CCB030224	Rottweiler	Pass QC	OSA
CCB070253	Rottweiler	Pass QC	OSA
CCB010026	Rottweiler	Pass QC	OSA
T-856	Rottweiler	Pass QC	OSA
CCB060033	Rottweiler	Pass QC	OSA
CCB040207	Rottweiler	Pass QC	OSA
CCB020022	Rottweiler	Pass QC	OSA
CCB010330	Rottweiler	Pass QC	OSA
CCB040287	Rottweiler	Pass QC	OSA
DD0064	NA	Pass QC	OM
CCB010327	Rottweiler	Pass QC	OSA
CCB030108	Rottweiler	Pass QC	OSA
CCB070177	Rottweiler	Pass QC	OSA
CCB010332	Rottweiler	Pass QC	OSA
CCB060100	Rottweiler	Pass QC	OSA
CCB060021	Rottweiler	Pass QC	OSA
CCB050315	Rottweiler	Pass QC	OSA
HPCI_0045	Rottweiler	Pass QC	OSA
CCB040464	Rottweiler	Pass QC	OSA
DD0072	NA	Pass QC	OM
CMT-241	Shih Tzu	Pass QC	MT
CMT-613	Shih Tzu	Pass QC	MT
CMT-247	Shih Tzu	Pass QC	MT
CMT-2	Shih Tzu	Pass QC	MT
CMT-523	Shih Tzu	Pass QC	MT
CMT-292	Shih Tzu	Pass QC	MT
CMT-400	Shih Tzu	Pass QC	MT
CMT-60	Shih Tzu	Pass QC	MT
CMT-63	Shih Tzu	Pass QC	MT
CMT-686	Shih Tzu	Pass QC	MT
CMT-259	NA	Pass QC	MT
CMT-232	Shih Tzu	Pass QC	MT
024	Maltese	Pass QC	MT
CMT-365	Shih Tzu	Pass QC	MT
CMT-348	Shih Tzu	Pass QC	MT
CMT-156	Shih Tzu	Pass QC	MT
CMT-233	Shih Tzu	Pass QC	MT
CMT-129	Shih Tzu	Pass QC	MT
CMT-495	Shih Tzu	Pass QC	MT
CMT-111	Shih Tzu	Pass QC	MT
CMT-659	Shih Tzu	Pass QC	MT
CMT-74	Shih Tzu	Pass QC	MT
CMT-417	Shih Tzu	Pass QC	MT
CMT-119	NA	Pass QC	MT
CMT-344	Yorkshire Terrier	Pass QC	MT
CMT-354	Yorkshire Terrier	Pass QC	MT
CMT-184	Shih Tzu	Pass QC	MT
i_2C25	Shih Tzu	Pass QC	GLM
CMT-318	Shih Tzu	Pass QC	MT
DD0008	NA	Pass QC	OM
DD0373	NA	Pass QC	UC
HSA_30	Golden Retriever	Pass QC	HSA
CCB050007_URen	Golden Retriever	Pass QC	OM
CCB040313	NA	Pass QC	UCL
HSA_16	Golden Retriever	Pass QC	HSA
HSA_4	Golden Retriever	Pass QC	HSA
CCB040038	Golden Retriever	Pass QC	BCL
CCB040292	Golden Retriever	Pass QC	TCL
CCB040222	Golden Retriever	Pass QC	BCL
CCB070139	Golden Retriever	Pass QC	TCL
HSA_31	Golden Retriever	Pass QC	HSA
PabWil	Golden Retriever	Pass QC	BCL
HSA_28	Golden Retriever	Pass QC	HSA
CCB010289	Golden Retriever	Pass QC	TCL
HSA_41	Golden Retriever	Pass QC	HSA
CCB010233	Golden Retriever	Pass QC	TCL
BenGal	Golden Retriever	Pass QC	BCL
CCB030300	Golden Retriever	Pass QC	TCL
HSA_37	Golden Retriever	Pass QC	HSA
BENTUC	Golden Retriever	Pass QC	BCL
HSA_20	Golden Retriever	Pass QC	HSA
RENJOH	Golden Retriever	Pass QC	BCL
HSA_21	Golden Retriever	Pass QC	HSA
HSA_29	Golden Retriever	Pass QC	HSA
HSA_8	Golden Retriever	Pass QC	HSA
HSA_19	Golden Retriever	Pass QC	HSA
HSA_27	Golden Retriever	Pass QC	HSA
CCB010036	Golden Retriever	Pass QC	BCL
CCB030201	NA	Pass QC	UCL
CCB030201_URen	Golden Retriever	Pass QC	OM
BITRIC	Golden Retriever	Pass QC	BCL
