SampleName	Provided_Breeds	BreedQC
JSPZ000010	Japanese Spitz	Pass QC
JSPZ000003	Japanese Spitz	Pass QC
JSPZ000002	Japanese Spitz	Pass QC
JSPZ000001	Japanese Spitz	Pass QC
JSPZ000011	Japanese Spitz	Pass QC
JSPZ000012	Japanese Spitz	Pass QC
JSPZ000008	Japanese Spitz	Pass QC
JSPZ000007	Japanese Spitz	Pass QC
JSPZ000009	Japanese Spitz	Pass QC
JSPZ000004	Japanese Spitz	Pass QC
JSPZ000005	Japanese Spitz	Pass QC
JSPZ000006	Japanese Spitz	Pass QC
COLL000011	Collie	Pass QC
COLL000009	Collie	Pass QC
COLL000008	Collie	Pass QC
COLL000010	Collie	Pass QC
COLL000012	Collie	Pass QC
COLL000007	Collie	Pass QC
COLL000006	Collie	Pass QC
COLL000013	Collie	Pass QC
COLL000003	Collie	Pass QC
COLL000001	Collie	Pass QC
COLL000002	Collie	Pass QC
COLL000005	Collie	Pass QC
COLL000004	Collie	Pass QC
APPZ000013	Appenzeller Sennenhund	Pass QC
APPZ000002	Appenzeller Sennenhund	Pass QC
APPZ000014	Appenzeller Sennenhund	Pass QC
APPZ000007	Appenzeller Sennenhund	Pass QC
APPZ000008	Appenzeller Sennenhund	Pass QC
APPZ000006	Appenzeller Sennenhund	Pass QC
APPZ000005	Appenzeller Sennenhund	Pass QC
APPZ000003	Appenzeller Sennenhund	Pass QC
APPZ000012	Appenzeller Sennenhund	Pass QC
APPZ000010	Appenzeller Sennenhund	Pass QC
APPZ000011	Appenzeller Sennenhund	Pass QC
APPZ000001	Appenzeller Sennenhund	Pass QC
APPZ000004	Appenzeller Sennenhund	Pass QC
APPZ000009	Appenzeller Sennenhund	Pass QC
CHOW000001	NA	Pass QC
CHOW000004	NA	Pass QC
CHOW000002	NA	Pass QC
CHOW000003	NA	Pass QC
AKIT000006	NA	Pass QC
AKIT000001	NA	Pass QC
AKIT000005	NA	Pass QC
AKIT000009	NA	Pass QC
AKIT000007	NA	Pass QC
AKIT000004	NA	Pass QC
AKIT000008	NA	Pass QC
AKIT000003	NA	Pass QC
AKIN000001	NA	Pass QC
AKIT000002	NA	Pass QC
AKIN000002	NA	Pass QC
HOKK000002	NA	Pass QC
HOKK000001	NA	Pass QC
SHIB000003	NA	Pass QC
SHIB000002	NA	Pass QC
SHIB000001	NA	Pass QC
SIKU000001	NA	Pass QC
KAIK000005	NA	Pass QC
KAIK000003	NA	Pass QC
KAIK000002	NA	Pass QC
KAIK000004	NA	Pass QC
KAIK000001	NA	Pass QC
KINT000001	NA	Pass QC
THAI000008	NA	Pass QC
THAI000003	NA	Pass QC
THAI000001	NA	Pass QC
THAI000005	NA	Pass QC
THAI000009	NA	Pass QC
THAI000006	NA	Pass QC
THAI000002	NA	Pass QC
THAI000004	NA	Pass QC
THAI000007	NA	Pass QC
FOMD000002	NA	Pass QC
FOMD000003	NA	Pass QC
SHAR000002	NA	Pass QC
SHAR000003	NA	Pass QC
SPEI000002	NA	Pass QC
SPEI000005	NA	Pass QC
SPEI000004	NA	Pass QC
SPEI000001	NA	Pass QC
SPEI000006	NA	Pass QC
SPEI000003	NA	Pass QC
KISH000002	NA	Pass QC
KISH000003	NA	Pass QC
KISH000001	NA	Pass QC
GREE000003	NA	Pass QC
GREE000001	NA	Pass QC
GREE000002	NA	Pass QC
AMAL000002	NA	Pass QC
AMAL000001	NA	Pass QC
AMAL000003	NA	Pass QC
IBIZ000009	Ibizan Hound	Pass QC
IBIZ000007	Ibizan Hound	Pass QC
IBIZ000004	Ibizan Hound	Pass QC
IBIZ000008	Ibizan Hound	Pass QC
IBIZ000011	Ibizan Hound	Pass QC
IBIZ000013	Ibizan Hound	Pass QC
IBIZ000001	Ibizan Hound	Pass QC
IBIZ000003	Ibizan Hound	Pass QC
IBIZ000005	Ibizan Hound	Pass QC
IBIZ000010	Ibizan Hound	Pass QC
IBIZ000012	Ibizan Hound	Pass QC
IBIZ000002	Ibizan Hound	Pass QC
IBIZ000006	Ibizan Hound	Pass QC
FLCD000003	Bouvier des Flandres	Pass QC
FLCD000006	Bouvier des Flandres	Pass QC
FLCD000004	Bouvier des Flandres	Pass QC
FLCD000005	Bouvier des Flandres	Pass QC
BOUV000002	Bouvier des Flandres	Pass QC
FLCD000007	Bouvier des Flandres	Pass QC
FLCD000001	Bouvier des Flandres	Pass QC
BOUV000001	Bouvier des Flandres	Pass QC
FLCD000002	Bouvier des Flandres	Pass QC
FLCD000008	Bouvier des Flandres	Pass QC
SMFX000003	Smooth Fox Terrier	Pass QC
SMFX000005	Smooth Fox Terrier	Pass QC
SMFX000004	Smooth Fox Terrier	Pass QC
SMFX000001	Smooth Fox Terrier	Pass QC
SMFX000002	Smooth Fox Terrier	Pass QC
FXTE000004	Smooth Fox Terrier	Pass QC
FXTE000005	Smooth Fox Terrier	Pass QC
FXTE000003	Smooth Fox Terrier	Pass QC
GSMD000007	Greater Swiss Mountain Dog	Pass QC
GSMD000003	Greater Swiss Mountain Dog	Pass QC
GSMD000010	Greater Swiss Mountain Dog	Pass QC
GSMD000008	Greater Swiss Mountain Dog	Pass QC
