SampleName	Provided_Breeds	BreedQC	DiseaseAcronym
JSPZ000010	Japanese Spitz	Pass QC	NonT
JSPZ000003	Japanese Spitz	Pass QC	NonT
JSPZ000008	Japanese Spitz	Pass QC	NonT
JSPZ000002	Japanese Spitz	Pass QC	NonT
JSPZ000012	Japanese Spitz	Pass QC	NonT
JSPZ000007	Japanese Spitz	Pass QC	NonT
JSPZ000009	Japanese Spitz	Pass QC	NonT
JSPZ000004	Japanese Spitz	Pass QC	NonT
JSPZ000001	Japanese Spitz	Pass QC	NonT
JSPZ000011	Japanese Spitz	Pass QC	NonT
JSPZ000005	Japanese Spitz	Pass QC	NonT
JSPZ000006	Japanese Spitz	Pass QC	NonT
COLL000010	Collie	Pass QC	NonT
COLL000009	Collie	Pass QC	NonT
COLL000008	Collie	Pass QC	NonT
COLL000011	Collie	Pass QC	NonT
COLL000012	Collie	Pass QC	NonT
COLL000007	Collie	Pass QC	NonT
COLL000003	Collie	Pass QC	NonT
COLL000002	Collie	Pass QC	NonT
COLL000001	Collie	Pass QC	NonT
COLL000005	Collie	Pass QC	NonT
COLL000004	Collie	Pass QC	NonT
COLL000006	Collie	Pass QC	NonT
COLL000013	Collie	Pass QC	NonT
APPZ000011	Appenzeller Sennenhund	Pass QC	NonT
APPZ000013	Appenzeller Sennenhund	Pass QC	NonT
APPZ000002	Appenzeller Sennenhund	Pass QC	NonT
APPZ000006	Appenzeller Sennenhund	Pass QC	NonT
APPZ000005	Appenzeller Sennenhund	Pass QC	NonT
APPZ000012	Appenzeller Sennenhund	Pass QC	NonT
APPZ000003	Appenzeller Sennenhund	Pass QC	NonT
APPZ000010	Appenzeller Sennenhund	Pass QC	NonT
APPZ000007	Appenzeller Sennenhund	Pass QC	NonT
APPZ000008	Appenzeller Sennenhund	Pass QC	NonT
APPZ000009	Appenzeller Sennenhund	Pass QC	NonT
APPZ000014	Appenzeller Sennenhund	Pass QC	NonT
APPZ000001	Appenzeller Sennenhund	Pass QC	NonT
APPZ000004	Appenzeller Sennenhund	Pass QC	NonT
CCB010089	Rottweiler	Pass QC	OSA
CCB050025	Rottweiler	Pass QC	OSA
HPCI_0045	Rottweiler	Pass QC	OSA
CCB040464	Rottweiler	Pass QC	OSA
CCB010026	Rottweiler	Pass QC	OSA
T-856	Rottweiler	Pass QC	OSA
T-843	Rottweiler	Pass QC	OSA
CCB010024	Rottweiler	Pass QC	OSA
CCB070253	Rottweiler	Pass QC	OSA
CCB030224	Rottweiler	Pass QC	OSA
CCB010330	Rottweiler	Pass QC	OSA
CCB050320	Rottweiler	Pass QC	OSA
CCB040207	Rottweiler	Pass QC	OSA
CCB040287	Rottweiler	Pass QC	OSA
CCB020022	Rottweiler	Pass QC	OSA
CCB060033	Rottweiler	Pass QC	OSA
CCB010327	Rottweiler	Pass QC	OSA
CCB030108	Rottweiler	Pass QC	OSA
CCB070177	Rottweiler	Pass QC	OSA
CCB010332	Rottweiler	Pass QC	OSA
CCB060100	Rottweiler	Pass QC	OSA
CCB060021	Rottweiler	Pass QC	OSA
CCB050315	Rottweiler	Pass QC	OSA
CMT-241	Shih Tzu	Pass QC	MT
CMT-400	Shih Tzu	Pass QC	MT
CMT-60	Shih Tzu	Pass QC	MT
CMT-613	Shih Tzu	Pass QC	MT
CMT-318	Shih Tzu	Pass QC	MT
CMT-247	Shih Tzu	Pass QC	MT
CMT-2	Shih Tzu	Pass QC	MT
CMT-63	Shih Tzu	Pass QC	MT
CMT-232	Shih Tzu	Pass QC	MT
CMT-686	Shih Tzu	Pass QC	MT
024	Maltese	Pass QC	MT
i_2C25	Shih Tzu	Pass QC	GLM
CMT-184	Shih Tzu	Pass QC	MT
CMT-523	Shih Tzu	Pass QC	MT
CMT-292	Shih Tzu	Pass QC	MT
CMT-365	Shih Tzu	Pass QC	MT
