SampleName	Provided_Breeds	BreedQC
JSPZ000010	Japanese Spitz	Pass QC
JSPZ000003	Japanese Spitz	Pass QC
JSPZ000002	Japanese Spitz	Pass QC
JSPZ000012	Japanese Spitz	Pass QC
JSPZ000008	Japanese Spitz	Pass QC
JSPZ000001	Japanese Spitz	Pass QC
JSPZ000011	Japanese Spitz	Pass QC
JSPZ000009	Japanese Spitz	Pass QC
JSPZ000004	Japanese Spitz	Pass QC
JSPZ000007	Japanese Spitz	Pass QC
GSPZ000005	German Spitz	Pass QC
JSPZ000005	Japanese Spitz	Pass QC
JSPZ000006	Japanese Spitz	Pass QC
COLL000010	Collie	Pass QC
COLL000012	Collie	Pass QC
COLL000011	Collie	Pass QC
COLL000009	Collie	Pass QC
COLL000008	Collie	Pass QC
COLL000007	Collie	Pass QC
COLL000006	Collie	Pass QC
COLL000013	Collie	Pass QC
COLL000003	Collie	Pass QC
COLL000001	Collie	Pass QC
COLL000002	Collie	Pass QC
COLL000005	Collie	Pass QC
COLL000004	Collie	Pass QC
APPZ000003	Appenzeller Sennenhund	Pass QC
APPZ000012	Appenzeller Sennenhund	Pass QC
APPZ000013	Appenzeller Sennenhund	Pass QC
APPZ000002	Appenzeller Sennenhund	Pass QC
APPZ000007	Appenzeller Sennenhund	Pass QC
APPZ000008	Appenzeller Sennenhund	Pass QC
APPZ000010	Appenzeller Sennenhund	Pass QC
APPZ000005	Appenzeller Sennenhund	Pass QC
APPZ000006	Appenzeller Sennenhund	Pass QC
APPZ000011	Appenzeller Sennenhund	Pass QC
APPZ000014	Appenzeller Sennenhund	Pass QC
APPZ000001	Appenzeller Sennenhund	Pass QC
APPZ000004	Appenzeller Sennenhund	Pass QC
APPZ000009	Appenzeller Sennenhund	Pass QC
IBIZ000009	Ibizan Hound	Pass QC
IBIZ000004	Ibizan Hound	Pass QC
IBIZ000007	Ibizan Hound	Pass QC
IBIZ000011	Ibizan Hound	Pass QC
IBIZ000008	Ibizan Hound	Pass QC
IBIZ000013	Ibizan Hound	Pass QC
IBIZ000001	Ibizan Hound	Pass QC
IBIZ000003	Ibizan Hound	Pass QC
IBIZ000005	Ibizan Hound	Pass QC
IBIZ000010	Ibizan Hound	Pass QC
IBIZ000012	Ibizan Hound	Pass QC
IBIZ000002	Ibizan Hound	Pass QC
IBIZ000006	Ibizan Hound	Pass QC
FLCD000003	Bouvier des Flandres	Pass QC
FLCD000006	Bouvier des Flandres	Pass QC
FLCD000004	Bouvier des Flandres	Pass QC
FLCD000005	Bouvier des Flandres	Pass QC
BOUV000002	Bouvier des Flandres	Pass QC
FLCD000007	Bouvier des Flandres	Pass QC
FLCD000001	Bouvier des Flandres	Pass QC
BOUV000001	Bouvier des Flandres	Pass QC
FLCD000002	Bouvier des Flandres	Pass QC
FLCD000008	Bouvier des Flandres	Pass QC
EGTT000010	English Toy Terrier	Pass QC
EGTT000016	English Toy Terrier	Pass QC
EGTT000007	English Toy Terrier	Pass QC
EGTT000008	English Toy Terrier	Pass QC
EGTT000015	English Toy Terrier	Pass QC
EGTT000011	English Toy Terrier	Pass QC
EGTT000014	English Toy Terrier	Pass QC
EGTT000012	English Toy Terrier	Pass QC
EGTT000009	English Toy Terrier	Pass QC
EGTT000013	English Toy Terrier	Pass QC
SMFX000003	Smooth Fox Terrier	Pass QC
SMFX000005	Smooth Fox Terrier	Pass QC
SMFX000004	Smooth Fox Terrier	Pass QC
SMFX000001	Smooth Fox Terrier	Pass QC
SMFX000002	Smooth Fox Terrier	Pass QC
FXTE000005	Smooth Fox Terrier	Pass QC
FXTE000004	Smooth Fox Terrier	Pass QC
FXTE000003	Smooth Fox Terrier	Pass QC
GSMD000007	Greater Swiss Mountain Dog	Pass QC
GSMD000003	Greater Swiss Mountain Dog	Pass QC
GSMD000010	Greater Swiss Mountain Dog	Pass QC
GSMD000006	Greater Swiss Mountain Dog	Pass QC
GSMD000002	Greater Swiss Mountain Dog	Pass QC
GSMD000008	Greater Swiss Mountain Dog	Pass QC
GSMD000004	Greater Swiss Mountain Dog	Pass QC
GSMD000005	Greater Swiss Mountain Dog	Pass QC
GSMD000009	Greater Swiss Mountain Dog	Pass QC
GSMD000001	Greater Swiss Mountain Dog	Pass QC
PBGV000005	Petit Basset Griffon Vendeen	Pass QC
PBGV000007	Petit Basset Griffon Vendeen	Pass QC
PBGV000001	Petit Basset Griffon Vendeen	Pass QC
PBGV000006	Petit Basset Griffon Vendeen	Pass QC
PBGV000004	Petit Basset Griffon Vendeen	Pass QC
PBGV000009	Petit Basset Griffon Vendeen	Pass QC
PBGV000002	Petit Basset Griffon Vendeen	Pass QC
PBGV000003	Petit Basset Griffon Vendeen	Pass QC
PBGV000008	Petit Basset Griffon Vendeen	Pass QC
PBGV000010	Petit Basset Griffon Vendeen	Pass QC
PBGV000012	Petit Basset Griffon Vendeen	Pass QC
SEAL000010	Sealyham Terrier	Pass QC
SEAL000009	Sealyham Terrier	Pass QC
SEAL000008	Sealyham Terrier	Pass QC
SEAL000004	Sealyham Terrier	Pass QC
SEAL000003	Sealyham Terrier	Pass QC
SEAL000006	Sealyham Terrier	Pass QC
